UNSPSC Number,UNSPSC Description
31171508,ROD END BEARINGS
31171509,SLEEVE BEARINGS
31171510,SPHERICAL BEARINGS
31171512,NEEDLE BEARINGS
31171515,PLAIN BEARINGS
31171516,TAPERED BEARINGS
31171519,BEARING BLOCKS OR HOUSINGS
31171530,CAM FOLLOWER BEARING
31171545,BEARING COVER
31171552,THRUST BALL BEARING
31171553,THRUST ROLLER BEARING
31171605,SHAFT BUSHINGS
31171609,BUSHING SLEEVE
31171707,SPUR GEARS
31171711,RING GEARS
31171712,WORM GEARS
31171714,HELICAL GEARS
31171715,CYLINDRICAL GEAR
31171803,FLYWHEELS
31191501,ABRASIVE PAPERS
31191506,ABRASIVE DISCS
31191509,ABRASIVE POLISHERS
31191515,ABRASIVE MESH
31201501,DUCT TAPE
31201502,ELECTRICAL INSULATING TAPE
31201503,MASKING TAPE
31201505,DOUBLE SIDED TAPE
31201507,FIBERGLASS TAPE
31201509,NYLON TAPE
31201512,TRANSPARENT TAPE
31201513,NON SKID SAFETY TAPES
31201514,POLYTETRAFLUOROETHYLENE PTFE THREAD SEALING TAPE
31201517,PACKAGING TAPE
31201523,CLOTH TAPE
31201531,POLYETHYLENE TAPE
31201534,RUBBER TAPE
31201601,CHEMICAL ADHESIVES
31201602,PASTES
3120160501,PUTTY AND FILLERS-RESIN
3120160502,PUTTY AND FILLERS-HARDENER
3120160503,PUTTY AND FILLERS-KIT
3120160504,PUTTY AND FILLERS-PACK
3120160701,EPOXY ADHESIVE-RESIN
3120160702,EPOXY ADHESIVE-HARDENER
3120160703,EPOXY ADHESIVE-KIT
3120160704,EPOXY ADHESIVE-PACK
31201608,FOAM ADHESIVES
31201609,HOT MELT ADHESIVES
31201610,GLUES
31201611,FILM ADHESIVES
31201615,ADHESIVE ACTIVATORS
31201618,DRYWALL JOINT COMPOUND
3120163501,PUR ADHESIVE-RESIN
3120163502,PUR ADHESIVE-HARDENER
3120163503,PUR ADHESIVE-KIT
3120163504,PUR ADHESIVE-PACK
31201705,SEALING COMPOUND
31201712,SILICONE SEALANT
31201713,POLYURETHANE SEALANT
3121150201,WATER BASED PAINT-RESIN
3121150202,WATER BASED PAINT-HARDENER
3121150203,WATER BASED PAINT-KIT
3121150204,WATER BASED PAINT-PACK
31211504,COATING PAINTS
31211507,SPRAY PAINTS
3121151501,SOLVENT BASED PAINT-RESIN
3121151502,SOLVENT BASED PAINT-HARDENER
3121151503,SOLVENT BASED PAINT-KIT
3121151504,SOLVENT BASED PAINT-PACK
31211522,HEAVY DUTY COATING
31211605,ANTI SLIP AGENTS
31211803,PAINT OR VARNISH THINNERS
31211904,PAINT BRUSHES
31211905,PAINT MIXERS
31211906,PAINT ROLLERS
3123110101,ALUMINUM MACHINED BAR STOCK-ROUND
3123110102,ALUMINUM MACHINED BAR STOCK-FLAT
3123110103,ALUMINUM MACHINED BAR STOCK-HEXAGON
3123110401,BRONZE MACHINED BAR STOCK-ROUND
3123110402,BRONZE MACHINED BAR STOCK-FLAT
3123110403,BRONZE MACHINED BAR STOCK-HEXAGON
3123110501,COPPER MACHINED BAR STOCK-ROUND
3123110502,COPPER MACHINED BAR STOCK-FLAT
3123110503,COPPER MACHINED BAR STOCK-HEXAGON
3123111001,STAINLESS STEEL MACHINED BAR STOCK-ROUND
3123111002,STAINLESS STEEL MACHINED BAR STOCK-FLAT
3123111003,STAINLESS STEEL MACHINED BAR STOCK-HEXAGON
3123111601,STEEL MACHINED BAR STOCK-ROUND
3123111602,STEEL MACHINED BAR STOCK-FLAT
3123111603,STEEL MACHINED BAR STOCK-HEXAGON
3123111701,COMPOSITE MACHINED BAR STOCK-ROUND
3123111702,COMPOSITE MACHINED BAR STOCK-FLAT
3123111703,COMPOSITE MACHINED BAR STOCK-HEXAGON
3123111901,NON METALLIC MACHINED BAR STOCK-ROUND
3123111902,NON METALLIC MACHINED BAR STOCK-FLAT
3123111903,NON METALLIC MACHINED BAR STOCK-HEXAGON
3123120101,ALUMINUM MACHINED PLATE STOCK-FLAT
3123120102,ALUMINUM MACHINED PLATE STOCK-ROUND
3123120301,BRASS MACHINED PLATE STOCK-FLAT
3123120302,BRASS MACHINED PLATE STOCK-ROUND
3123120501,COPPER MACHINED PLATE STOCK-FLAT
3123120502,COPPER MACHINED PLATE STOCK-ROUND
3123121001,STAINLESS STEEL MACHINED PLATE STOCK-FLAT
3123121002,STAINLESS STEEL MACHINED PLATE STOCK-ROUND
3123121601,STEEL MACHINED PLATE STOCK-FLAT
3123121602,STEEL MACHINED PLATE STOCK-ROUND
3123121701,COMPOSITE MACHINED PLATE STOCK-FLAT
3123121702,COMPOSITE MACHINED PLATE STOCK-ROUND
3123121901,NON METALLIC MACHINED PLATE STOCK-FLAT
3123121902,NON METALLIC MACHINED PLATE STOCK-ROUND
31251501,ELECTRIC ACTUATORS
31251511,LINEAR ACTUATORS
31261501,PLASTIC HOUSINGS OR CABINETS
31261503,STEEL HOUSINGS OR CABINETS
31261504,GEAR BOX HOUSINGS
